date,county,state,fips,cases,deaths
2020-03-14,Broome,New York,36007.0,1,0.0
2020-03-15,Broome,New York,36007.0,1,0.0
2020-03-16,Broome,New York,36007.0,1,0.0
2020-03-17,Broome,New York,36007.0,1,0.0
2020-03-18,Broome,New York,36007.0,2,0.0
2020-03-19,Broome,New York,36007.0,2,0.0
2020-03-20,Broome,New York,36007.0,2,0.0
2020-03-21,Broome,New York,36007.0,2,1.0
2020-03-22,Broome,New York,36007.0,3,1.0
2020-03-23,Broome,New York,36007.0,7,1.0
2020-03-24,Broome,New York,36007.0,9,1.0
2020-03-25,Broome,New York,36007.0,11,1.0
2020-03-26,Broome,New York,36007.0,16,2.0
2020-03-27,Broome,New York,36007.0,18,3.0
2020-03-28,Broome,New York,36007.0,23,3.0
2020-03-29,Broome,New York,36007.0,29,3.0
2020-03-30,Broome,New York,36007.0,35,3.0
2020-03-31,Broome,New York,36007.0,38,3.0
2020-04-01,Broome,New York,36007.0,42,4.0
2020-04-02,Broome,New York,36007.0,46,4.0
2020-04-03,Broome,New York,36007.0,46,4.0
2020-04-04,Broome,New York,36007.0,65,4.0
2020-04-05,Broome,New York,36007.0,71,4.0
2020-04-06,Broome,New York,36007.0,76,5.0
2020-04-07,Broome,New York,36007.0,86,5.0
2020-04-08,Broome,New York,36007.0,88,6.0
2020-04-09,Broome,New York,36007.0,105,6.0
2020-04-10,Broome,New York,36007.0,112,6.0
2020-04-11,Broome,New York,36007.0,117,6.0
2020-04-12,Broome,New York,36007.0,126,6.0
2020-04-13,Broome,New York,36007.0,133,6.0
2020-04-14,Broome,New York,36007.0,146,6.0
2020-04-15,Broome,New York,36007.0,153,6.0
2020-04-16,Broome,New York,36007.0,167,6.0
2020-04-17,Broome,New York,36007.0,178,6.0
2020-04-18,Broome,New York,36007.0,186,6.0
2020-04-19,Broome,New York,36007.0,192,7.0
2020-04-20,Broome,New York,36007.0,199,7.0
2020-04-21,Broome,New York,36007.0,205,7.0
2020-04-22,Broome,New York,36007.0,219,8.0
2020-04-23,Broome,New York,36007.0,224,10.0
2020-04-24,Broome,New York,36007.0,232,11.0
2020-04-25,Broome,New York,36007.0,251,13.0
2020-04-26,Broome,New York,36007.0,257,13.0
2020-04-27,Broome,New York,36007.0,261,14.0
2020-04-28,Broome,New York,36007.0,266,15.0
2020-04-29,Broome,New York,36007.0,273,15.0
2020-04-30,Broome,New York,36007.0,284,15.0
2020-05-01,Broome,New York,36007.0,299,18.0
2020-05-02,Broome,New York,36007.0,305,18.0
2020-05-03,Broome,New York,36007.0,327,18.0
2020-05-04,Broome,New York,36007.0,334,18.0
2020-05-05,Broome,New York,36007.0,338,18.0
2020-05-06,Broome,New York,36007.0,345,25.0
2020-05-07,Broome,New York,36007.0,360,25.0
2020-05-08,Broome,New York,36007.0,364,25.0
2020-05-09,Broome,New York,36007.0,372,25.0
2020-05-10,Broome,New York,36007.0,373,28.0
2020-05-11,Broome,New York,36007.0,378,28.0
2020-05-12,Broome,New York,36007.0,379,30.0
2020-05-13,Broome,New York,36007.0,382,31.0
2020-05-14,Broome,New York,36007.0,383,32.0
2020-05-15,Broome,New York,36007.0,390,32.0
2020-05-16,Broome,New York,36007.0,413,32.0
2020-05-17,Broome,New York,36007.0,414,33.0
2020-05-18,Broome,New York,36007.0,423,34.0
2020-05-19,Broome,New York,36007.0,429,36.0
2020-05-20,Broome,New York,36007.0,436,37.0
2020-05-21,Broome,New York,36007.0,451,37.0
2020-05-22,Broome,New York,36007.0,468,39.0
2020-05-23,Broome,New York,36007.0,485,41.0
2020-05-24,Broome,New York,36007.0,501,42.0
2020-05-25,Broome,New York,36007.0,519,44.0
2020-05-26,Broome,New York,36007.0,522,45.0
2020-05-27,Broome,New York,36007.0,528,46.0
2020-05-28,Broome,New York,36007.0,545,46.0
2020-05-29,Broome,New York,36007.0,557,48.0
2020-05-30,Broome,New York,36007.0,561,50.0
2020-05-31,Broome,New York,36007.0,566,51.0
2020-06-01,Broome,New York,36007.0,574,51.0
2020-06-02,Broome,New York,36007.0,578,51.0
2020-06-03,Broome,New York,36007.0,589,51.0
2020-06-04,Broome,New York,36007.0,593,52.0
2020-06-05,Broome,New York,36007.0,605,54.0
2020-06-06,Broome,New York,36007.0,613,54.0
2020-06-07,Broome,New York,36007.0,620,55.0
2020-06-08,Broome,New York,36007.0,624,56.0
2020-06-09,Broome,New York,36007.0,627,57.0
2020-06-10,Broome,New York,36007.0,630,57.0
2020-06-11,Broome,New York,36007.0,641,58.0
2020-06-12,Broome,New York,36007.0,644,58.0
2020-06-13,Broome,New York,36007.0,647,59.0
2020-06-14,Broome,New York,36007.0,651,59.0
2020-06-15,Broome,New York,36007.0,655,59.0
2020-06-16,Broome,New York,36007.0,656,59.0
2020-06-17,Broome,New York,36007.0,657,59.0
2020-06-18,Broome,New York,36007.0,657,59.0
2020-06-19,Broome,New York,36007.0,663,59.0
2020-06-20,Broome,New York,36007.0,665,59.0
2020-06-21,Broome,New York,36007.0,668,59.0
2020-06-22,Broome,New York,36007.0,670,59.0
2020-06-23,Broome,New York,36007.0,671,61.0
2020-06-24,Broome,New York,36007.0,671,61.0
2020-06-25,Broome,New York,36007.0,680,61.0
2020-06-26,Broome,New York,36007.0,697,61.0
2020-06-27,Broome,New York,36007.0,701,61.0
2020-06-28,Broome,New York,36007.0,703,61.0
2020-06-29,Broome,New York,36007.0,710,61.0
2020-06-30,Broome,New York,36007.0,716,61.0
2020-07-01,Broome,New York,36007.0,722,61.0
2020-07-02,Broome,New York,36007.0,729,62.0
2020-07-03,Broome,New York,36007.0,736,62.0
2020-07-04,Broome,New York,36007.0,752,62.0
2020-07-05,Broome,New York,36007.0,753,62.0
2020-07-06,Broome,New York,36007.0,757,62.0
2020-07-07,Broome,New York,36007.0,762,62.0
2020-07-08,Broome,New York,36007.0,766,63.0
2020-07-09,Broome,New York,36007.0,770,63.0
2020-07-10,Broome,New York,36007.0,784,63.0
2020-07-11,Broome,New York,36007.0,807,63.0
2020-07-12,Broome,New York,36007.0,820,63.0
2020-07-13,Broome,New York,36007.0,827,64.0
2020-07-14,Broome,New York,36007.0,841,66.0
2020-07-15,Broome,New York,36007.0,852,67.0
2020-07-16,Broome,New York,36007.0,861,68.0
2020-07-17,Broome,New York,36007.0,870,69.0
2020-07-18,Broome,New York,36007.0,877,69.0
2020-07-19,Broome,New York,36007.0,883,69.0
2020-07-20,Broome,New York,36007.0,902,69.0
2020-07-21,Broome,New York,36007.0,917,69.0
2020-07-22,Broome,New York,36007.0,930,69.0
2020-07-23,Broome,New York,36007.0,934,70.0
2020-07-24,Broome,New York,36007.0,954,71.0
2020-07-25,Broome,New York,36007.0,966,72.0
2020-07-26,Broome,New York,36007.0,978,72.0
2020-07-27,Broome,New York,36007.0,986,72.0
2020-07-28,Broome,New York,36007.0,992,73.0
2020-07-29,Broome,New York,36007.0,1015,74.0
2020-07-30,Broome,New York,36007.0,1029,76.0
2020-07-31,Broome,New York,36007.0,1037,76.0
2020-08-01,Broome,New York,36007.0,1048,76.0
2020-08-02,Broome,New York,36007.0,1054,77.0
2020-08-03,Broome,New York,36007.0,1064,78.0
2020-08-04,Broome,New York,36007.0,1078,78.0
2020-08-05,Broome,New York,36007.0,1082,78.0
2020-08-06,Broome,New York,36007.0,1094,74.0
2020-08-07,Broome,New York,36007.0,1115,74.0
2020-08-08,Broome,New York,36007.0,1120,74.0
2020-08-09,Broome,New York,36007.0,1126,74.0
2020-08-10,Broome,New York,36007.0,1131,74.0
2020-08-11,Broome,New York,36007.0,1143,75.0
2020-08-12,Broome,New York,36007.0,1150,75.0
2020-08-13,Broome,New York,36007.0,1153,78.0
2020-08-14,Broome,New York,36007.0,1165,78.0
2020-08-15,Broome,New York,36007.0,1165,78.0
2020-08-16,Broome,New York,36007.0,1166,78.0
2020-08-17,Broome,New York,36007.0,1172,78.0
2020-08-18,Broome,New York,36007.0,1177,79.0
2020-08-19,Broome,New York,36007.0,1189,80.0
2020-08-20,Broome,New York,36007.0,1196,80.0
2020-08-21,Broome,New York,36007.0,1211,80.0
2020-08-22,Broome,New York,36007.0,1227,80.0
2020-08-23,Broome,New York,36007.0,1239,81.0
2020-08-24,Broome,New York,36007.0,1250,81.0
2020-08-25,Broome,New York,36007.0,1256,82.0
2020-08-26,Broome,New York,36007.0,1268,82.0
2020-08-27,Broome,New York,36007.0,1274,82.0
2020-08-28,Broome,New York,36007.0,1283,82.0
2020-08-29,Broome,New York,36007.0,1286,82.0
2020-08-30,Broome,New York,36007.0,1295,82.0
2020-08-31,Broome,New York,36007.0,1307,82.0
2020-09-01,Broome,New York,36007.0,1311,82.0
2020-09-02,Broome,New York,36007.0,1315,83.0
2020-09-03,Broome,New York,36007.0,1333,83.0
2020-09-04,Broome,New York,36007.0,1342,83.0
2020-09-05,Broome,New York,36007.0,1350,83.0
2020-09-06,Broome,New York,36007.0,1357,84.0
2020-09-07,Broome,New York,36007.0,1365,84.0
2020-09-08,Broome,New York,36007.0,1374,84.0
2020-09-09,Broome,New York,36007.0,1378,84.0
2020-09-10,Broome,New York,36007.0,1383,85.0
2020-09-11,Broome,New York,36007.0,1395,85.0
2020-09-12,Broome,New York,36007.0,1410,85.0
2020-09-13,Broome,New York,36007.0,1418,85.0
2020-09-14,Broome,New York,36007.0,1420,85.0
2020-09-15,Broome,New York,36007.0,1423,85.0
2020-09-16,Broome,New York,36007.0,1428,85.0
2020-09-17,Broome,New York,36007.0,1437,85.0
2020-09-18,Broome,New York,36007.0,1450,85.0
2020-09-19,Broome,New York,36007.0,1459,85.0
2020-09-20,Broome,New York,36007.0,1465,85.0
2020-09-21,Broome,New York,36007.0,1472,85.0
2020-09-22,Broome,New York,36007.0,1476,85.0
2020-09-23,Broome,New York,36007.0,1480,85.0
2020-09-24,Broome,New York,36007.0,1496,85.0
2020-09-25,Broome,New York,36007.0,1513,85.0
2020-09-26,Broome,New York,36007.0,1550,85.0
2020-09-27,Broome,New York,36007.0,1572,85.0
2020-09-28,Broome,New York,36007.0,1606,85.0
2020-09-29,Broome,New York,36007.0,1642,85.0
2020-09-30,Broome,New York,36007.0,1673,85.0
2020-10-01,Broome,New York,36007.0,1729,85.0
2020-10-02,Broome,New York,36007.0,1786,85.0
2020-10-03,Broome,New York,36007.0,1896,85.0
2020-10-04,Broome,New York,36007.0,1947,85.0
2020-10-05,Broome,New York,36007.0,1974,86.0
2020-10-06,Broome,New York,36007.0,2026,86.0
2020-10-07,Broome,New York,36007.0,2131,86.0
2020-10-08,Broome,New York,36007.0,2239,86.0
2020-10-09,Broome,New York,36007.0,2314,86.0
2020-10-10,Broome,New York,36007.0,2400,86.0
2020-10-11,Broome,New York,36007.0,2442,86.0
2020-10-12,Broome,New York,36007.0,2485,86.0
2020-10-13,Broome,New York,36007.0,2538,86.0
2020-10-14,Broome,New York,36007.0,2607,86.0
2020-10-15,Broome,New York,36007.0,2703,87.0
