date,county,state,fips,cases,deaths
2020-05-14,Tripp,South Dakota,46123.0,1,0.0
2020-05-15,Tripp,South Dakota,46123.0,1,0.0
2020-05-16,Tripp,South Dakota,46123.0,2,0.0
2020-05-17,Tripp,South Dakota,46123.0,2,0.0
2020-05-18,Tripp,South Dakota,46123.0,2,0.0
2020-05-19,Tripp,South Dakota,46123.0,2,0.0
2020-05-20,Tripp,South Dakota,46123.0,2,0.0
2020-05-21,Tripp,South Dakota,46123.0,2,0.0
2020-05-22,Tripp,South Dakota,46123.0,3,0.0
2020-05-23,Tripp,South Dakota,46123.0,6,0.0
2020-05-24,Tripp,South Dakota,46123.0,6,0.0
2020-05-25,Tripp,South Dakota,46123.0,6,0.0
2020-05-26,Tripp,South Dakota,46123.0,6,0.0
2020-05-27,Tripp,South Dakota,46123.0,6,0.0
2020-05-28,Tripp,South Dakota,46123.0,6,0.0
2020-05-29,Tripp,South Dakota,46123.0,6,0.0
2020-05-30,Tripp,South Dakota,46123.0,6,0.0
2020-05-31,Tripp,South Dakota,46123.0,6,0.0
2020-06-01,Tripp,South Dakota,46123.0,6,0.0
2020-06-02,Tripp,South Dakota,46123.0,6,0.0
2020-06-03,Tripp,South Dakota,46123.0,6,0.0
2020-06-04,Tripp,South Dakota,46123.0,6,0.0
2020-06-05,Tripp,South Dakota,46123.0,6,0.0
2020-06-06,Tripp,South Dakota,46123.0,6,0.0
2020-06-07,Tripp,South Dakota,46123.0,6,0.0
2020-06-08,Tripp,South Dakota,46123.0,6,0.0
2020-06-09,Tripp,South Dakota,46123.0,6,0.0
2020-06-10,Tripp,South Dakota,46123.0,6,0.0
2020-06-11,Tripp,South Dakota,46123.0,6,0.0
2020-06-12,Tripp,South Dakota,46123.0,7,0.0
2020-06-13,Tripp,South Dakota,46123.0,7,0.0
2020-06-14,Tripp,South Dakota,46123.0,7,0.0
2020-06-15,Tripp,South Dakota,46123.0,7,0.0
2020-06-16,Tripp,South Dakota,46123.0,8,0.0
2020-06-17,Tripp,South Dakota,46123.0,9,0.0
2020-06-18,Tripp,South Dakota,46123.0,9,0.0
2020-06-19,Tripp,South Dakota,46123.0,9,0.0
2020-06-20,Tripp,South Dakota,46123.0,9,0.0
2020-06-21,Tripp,South Dakota,46123.0,12,0.0
2020-06-22,Tripp,South Dakota,46123.0,12,0.0
2020-06-23,Tripp,South Dakota,46123.0,13,0.0
2020-06-24,Tripp,South Dakota,46123.0,13,0.0
2020-06-25,Tripp,South Dakota,46123.0,13,0.0
2020-06-26,Tripp,South Dakota,46123.0,15,0.0
2020-06-27,Tripp,South Dakota,46123.0,15,0.0
2020-06-28,Tripp,South Dakota,46123.0,15,0.0
2020-06-29,Tripp,South Dakota,46123.0,16,0.0
2020-06-30,Tripp,South Dakota,46123.0,16,0.0
2020-07-01,Tripp,South Dakota,46123.0,16,0.0
2020-07-02,Tripp,South Dakota,46123.0,17,0.0
2020-07-03,Tripp,South Dakota,46123.0,18,0.0
2020-07-04,Tripp,South Dakota,46123.0,18,0.0
2020-07-05,Tripp,South Dakota,46123.0,18,0.0
2020-07-06,Tripp,South Dakota,46123.0,18,0.0
2020-07-07,Tripp,South Dakota,46123.0,18,0.0
2020-07-08,Tripp,South Dakota,46123.0,18,0.0
2020-07-09,Tripp,South Dakota,46123.0,18,0.0
2020-07-10,Tripp,South Dakota,46123.0,19,0.0
2020-07-11,Tripp,South Dakota,46123.0,19,0.0
2020-07-12,Tripp,South Dakota,46123.0,19,0.0
2020-07-13,Tripp,South Dakota,46123.0,19,0.0
2020-07-14,Tripp,South Dakota,46123.0,19,0.0
2020-07-15,Tripp,South Dakota,46123.0,19,0.0
2020-07-16,Tripp,South Dakota,46123.0,19,0.0
2020-07-17,Tripp,South Dakota,46123.0,19,0.0
2020-07-18,Tripp,South Dakota,46123.0,19,0.0
2020-07-19,Tripp,South Dakota,46123.0,19,0.0
2020-07-20,Tripp,South Dakota,46123.0,19,0.0
2020-07-21,Tripp,South Dakota,46123.0,19,0.0
2020-07-22,Tripp,South Dakota,46123.0,19,0.0
2020-07-23,Tripp,South Dakota,46123.0,19,0.0
2020-07-24,Tripp,South Dakota,46123.0,19,0.0
2020-07-25,Tripp,South Dakota,46123.0,20,0.0
2020-07-26,Tripp,South Dakota,46123.0,20,0.0
2020-07-27,Tripp,South Dakota,46123.0,20,0.0
2020-07-28,Tripp,South Dakota,46123.0,20,0.0
2020-07-29,Tripp,South Dakota,46123.0,20,0.0
2020-07-30,Tripp,South Dakota,46123.0,20,0.0
2020-07-31,Tripp,South Dakota,46123.0,20,0.0
2020-08-01,Tripp,South Dakota,46123.0,20,0.0
2020-08-02,Tripp,South Dakota,46123.0,20,0.0
2020-08-03,Tripp,South Dakota,46123.0,20,0.0
2020-08-04,Tripp,South Dakota,46123.0,20,0.0
2020-08-05,Tripp,South Dakota,46123.0,20,0.0
2020-08-06,Tripp,South Dakota,46123.0,20,0.0
2020-08-07,Tripp,South Dakota,46123.0,20,0.0
2020-08-08,Tripp,South Dakota,46123.0,20,0.0
2020-08-09,Tripp,South Dakota,46123.0,20,0.0
2020-08-10,Tripp,South Dakota,46123.0,20,0.0
2020-08-11,Tripp,South Dakota,46123.0,20,0.0
2020-08-12,Tripp,South Dakota,46123.0,20,0.0
2020-08-13,Tripp,South Dakota,46123.0,20,0.0
2020-08-14,Tripp,South Dakota,46123.0,20,0.0
2020-08-15,Tripp,South Dakota,46123.0,20,0.0
2020-08-16,Tripp,South Dakota,46123.0,20,0.0
2020-08-17,Tripp,South Dakota,46123.0,20,0.0
2020-08-18,Tripp,South Dakota,46123.0,20,0.0
2020-08-19,Tripp,South Dakota,46123.0,20,0.0
2020-08-20,Tripp,South Dakota,46123.0,20,0.0
2020-08-21,Tripp,South Dakota,46123.0,20,0.0
2020-08-22,Tripp,South Dakota,46123.0,20,0.0
2020-08-23,Tripp,South Dakota,46123.0,20,0.0
2020-08-24,Tripp,South Dakota,46123.0,20,0.0
2020-08-25,Tripp,South Dakota,46123.0,20,0.0
2020-08-26,Tripp,South Dakota,46123.0,20,0.0
2020-08-27,Tripp,South Dakota,46123.0,20,0.0
2020-08-28,Tripp,South Dakota,46123.0,20,0.0
2020-08-29,Tripp,South Dakota,46123.0,21,0.0
2020-08-30,Tripp,South Dakota,46123.0,22,0.0
2020-08-31,Tripp,South Dakota,46123.0,22,0.0
2020-09-01,Tripp,South Dakota,46123.0,23,0.0
2020-09-02,Tripp,South Dakota,46123.0,23,0.0
2020-09-03,Tripp,South Dakota,46123.0,25,0.0
2020-09-04,Tripp,South Dakota,46123.0,25,0.0
2020-09-05,Tripp,South Dakota,46123.0,25,0.0
2020-09-06,Tripp,South Dakota,46123.0,25,0.0
2020-09-07,Tripp,South Dakota,46123.0,27,0.0
2020-09-08,Tripp,South Dakota,46123.0,27,0.0
2020-09-09,Tripp,South Dakota,46123.0,29,0.0
2020-09-10,Tripp,South Dakota,46123.0,30,0.0
2020-09-11,Tripp,South Dakota,46123.0,31,0.0
2020-09-12,Tripp,South Dakota,46123.0,37,0.0
2020-09-13,Tripp,South Dakota,46123.0,39,0.0
2020-09-14,Tripp,South Dakota,46123.0,40,0.0
2020-09-15,Tripp,South Dakota,46123.0,45,0.0
2020-09-16,Tripp,South Dakota,46123.0,48,0.0
2020-09-17,Tripp,South Dakota,46123.0,63,0.0
2020-09-18,Tripp,South Dakota,46123.0,72,0.0
2020-09-19,Tripp,South Dakota,46123.0,88,0.0
2020-09-20,Tripp,South Dakota,46123.0,96,0.0
2020-09-21,Tripp,South Dakota,46123.0,97,0.0
2020-09-22,Tripp,South Dakota,46123.0,99,0.0
2020-09-23,Tripp,South Dakota,46123.0,114,0.0
2020-09-24,Tripp,South Dakota,46123.0,126,0.0
2020-09-25,Tripp,South Dakota,46123.0,135,0.0
2020-09-26,Tripp,South Dakota,46123.0,148,0.0
2020-09-27,Tripp,South Dakota,46123.0,155,0.0
2020-09-28,Tripp,South Dakota,46123.0,158,0.0
2020-09-29,Tripp,South Dakota,46123.0,162,0.0
2020-09-30,Tripp,South Dakota,46123.0,164,0.0
2020-10-01,Tripp,South Dakota,46123.0,176,1.0
2020-10-02,Tripp,South Dakota,46123.0,178,1.0
2020-10-03,Tripp,South Dakota,46123.0,185,1.0
2020-10-04,Tripp,South Dakota,46123.0,188,1.0
2020-10-05,Tripp,South Dakota,46123.0,188,1.0
2020-10-06,Tripp,South Dakota,46123.0,190,1.0
2020-10-07,Tripp,South Dakota,46123.0,195,1.0
2020-10-08,Tripp,South Dakota,46123.0,196,1.0
2020-10-09,Tripp,South Dakota,46123.0,200,1.0
2020-10-10,Tripp,South Dakota,46123.0,202,1.0
2020-10-11,Tripp,South Dakota,46123.0,204,1.0
2020-10-12,Tripp,South Dakota,46123.0,207,1.0
2020-10-13,Tripp,South Dakota,46123.0,210,1.0
2020-10-14,Tripp,South Dakota,46123.0,218,1.0
2020-10-15,Tripp,South Dakota,46123.0,221,1.0
2020-10-16,Tripp,South Dakota,46123.0,223,1.0
2020-10-17,Tripp,South Dakota,46123.0,227,1.0
2020-10-18,Tripp,South Dakota,46123.0,232,1.0
2020-10-19,Tripp,South Dakota,46123.0,236,1.0
2020-10-20,Tripp,South Dakota,46123.0,240,1.0
2020-10-21,Tripp,South Dakota,46123.0,242,1.0
2020-10-22,Tripp,South Dakota,46123.0,249,2.0
2020-10-23,Tripp,South Dakota,46123.0,251,2.0
2020-10-24,Tripp,South Dakota,46123.0,252,2.0
2020-10-25,Tripp,South Dakota,46123.0,258,2.0
2020-10-26,Tripp,South Dakota,46123.0,259,2.0
2020-10-27,Tripp,South Dakota,46123.0,262,2.0
2020-10-28,Tripp,South Dakota,46123.0,269,2.0
2020-10-29,Tripp,South Dakota,46123.0,271,2.0
2020-10-30,Tripp,South Dakota,46123.0,276,2.0
2020-10-31,Tripp,South Dakota,46123.0,285,2.0
2020-11-01,Tripp,South Dakota,46123.0,288,2.0
2020-11-02,Tripp,South Dakota,46123.0,289,2.0
2020-11-03,Tripp,South Dakota,46123.0,293,2.0
2020-11-04,Tripp,South Dakota,46123.0,300,2.0
2020-11-05,Tripp,South Dakota,46123.0,305,2.0
2020-11-06,Tripp,South Dakota,46123.0,312,2.0
2020-11-07,Tripp,South Dakota,46123.0,326,2.0
2020-11-08,Tripp,South Dakota,46123.0,334,2.0
2020-11-09,Tripp,South Dakota,46123.0,341,2.0
2020-11-10,Tripp,South Dakota,46123.0,350,2.0
2020-11-11,Tripp,South Dakota,46123.0,360,2.0
2020-11-12,Tripp,South Dakota,46123.0,379,2.0
2020-11-13,Tripp,South Dakota,46123.0,386,2.0
2020-11-14,Tripp,South Dakota,46123.0,397,2.0
2020-11-15,Tripp,South Dakota,46123.0,407,2.0
2020-11-16,Tripp,South Dakota,46123.0,417,2.0
2020-11-17,Tripp,South Dakota,46123.0,417,2.0
2020-11-18,Tripp,South Dakota,46123.0,423,2.0
2020-11-19,Tripp,South Dakota,46123.0,425,2.0
2020-11-20,Tripp,South Dakota,46123.0,440,2.0
2020-11-21,Tripp,South Dakota,46123.0,441,2.0
2020-11-22,Tripp,South Dakota,46123.0,446,2.0
2020-11-23,Tripp,South Dakota,46123.0,458,2.0
2020-11-24,Tripp,South Dakota,46123.0,463,2.0
2020-11-25,Tripp,South Dakota,46123.0,485,2.0
2020-11-26,Tripp,South Dakota,46123.0,485,2.0
2020-11-27,Tripp,South Dakota,46123.0,501,2.0
2020-11-28,Tripp,South Dakota,46123.0,505,4.0
2020-11-29,Tripp,South Dakota,46123.0,511,4.0
2020-11-30,Tripp,South Dakota,46123.0,512,4.0
2020-12-01,Tripp,South Dakota,46123.0,514,4.0
2020-12-02,Tripp,South Dakota,46123.0,520,4.0
2020-12-03,Tripp,South Dakota,46123.0,544,5.0
2020-12-04,Tripp,South Dakota,46123.0,548,8.0
2020-12-05,Tripp,South Dakota,46123.0,555,9.0
2020-12-06,Tripp,South Dakota,46123.0,560,9.0
2020-12-07,Tripp,South Dakota,46123.0,562,9.0
2020-12-08,Tripp,South Dakota,46123.0,564,9.0
2020-12-09,Tripp,South Dakota,46123.0,570,10.0
2020-12-10,Tripp,South Dakota,46123.0,578,10.0
2020-12-11,Tripp,South Dakota,46123.0,580,10.0
2020-12-12,Tripp,South Dakota,46123.0,585,10.0
2020-12-13,Tripp,South Dakota,46123.0,589,10.0
2020-12-14,Tripp,South Dakota,46123.0,589,10.0
2020-12-15,Tripp,South Dakota,46123.0,589,10.0
2020-12-16,Tripp,South Dakota,46123.0,598,10.0
2020-12-17,Tripp,South Dakota,46123.0,599,10.0
2020-12-18,Tripp,South Dakota,46123.0,599,10.0
2020-12-19,Tripp,South Dakota,46123.0,606,10.0
2020-12-20,Tripp,South Dakota,46123.0,611,10.0
2020-12-21,Tripp,South Dakota,46123.0,611,10.0
2020-12-22,Tripp,South Dakota,46123.0,612,10.0
2020-12-23,Tripp,South Dakota,46123.0,617,11.0
2020-12-24,Tripp,South Dakota,46123.0,617,11.0
2020-12-25,Tripp,South Dakota,46123.0,617,11.0
2020-12-26,Tripp,South Dakota,46123.0,617,11.0
2020-12-27,Tripp,South Dakota,46123.0,620,11.0
2020-12-28,Tripp,South Dakota,46123.0,620,11.0
2020-12-29,Tripp,South Dakota,46123.0,620,11.0
2020-12-30,Tripp,South Dakota,46123.0,624,11.0
2020-12-31,Tripp,South Dakota,46123.0,629,12.0
2021-01-01,Tripp,South Dakota,46123.0,629,12.0
2021-01-02,Tripp,South Dakota,46123.0,631,12.0
2021-01-03,Tripp,South Dakota,46123.0,631,12.0
2021-01-04,Tripp,South Dakota,46123.0,631,12.0
2021-01-05,Tripp,South Dakota,46123.0,632,12.0
2021-01-06,Tripp,South Dakota,46123.0,633,12.0
2021-01-07,Tripp,South Dakota,46123.0,634,13.0
2021-01-08,Tripp,South Dakota,46123.0,638,13.0
2021-01-09,Tripp,South Dakota,46123.0,639,13.0
2021-01-10,Tripp,South Dakota,46123.0,639,13.0
2021-01-11,Tripp,South Dakota,46123.0,639,13.0
2021-01-12,Tripp,South Dakota,46123.0,639,13.0
2021-01-13,Tripp,South Dakota,46123.0,643,14.0
2021-01-14,Tripp,South Dakota,46123.0,644,14.0
2021-01-15,Tripp,South Dakota,46123.0,645,14.0
2021-01-16,Tripp,South Dakota,46123.0,645,14.0
2021-01-17,Tripp,South Dakota,46123.0,645,14.0
2021-01-18,Tripp,South Dakota,46123.0,645,14.0
2021-01-19,Tripp,South Dakota,46123.0,646,14.0
2021-01-20,Tripp,South Dakota,46123.0,648,14.0
2021-01-21,Tripp,South Dakota,46123.0,649,14.0
2021-01-22,Tripp,South Dakota,46123.0,652,15.0
2021-01-23,Tripp,South Dakota,46123.0,651,15.0
2021-01-24,Tripp,South Dakota,46123.0,650,15.0
2021-01-25,Tripp,South Dakota,46123.0,650,15.0
2021-01-26,Tripp,South Dakota,46123.0,650,15.0
2021-01-27,Tripp,South Dakota,46123.0,651,15.0
2021-01-28,Tripp,South Dakota,46123.0,654,15.0
2021-01-29,Tripp,South Dakota,46123.0,654,15.0
2021-01-30,Tripp,South Dakota,46123.0,654,15.0
2021-01-31,Tripp,South Dakota,46123.0,655,15.0
2021-02-01,Tripp,South Dakota,46123.0,655,15.0
2021-02-02,Tripp,South Dakota,46123.0,657,15.0
2021-02-03,Tripp,South Dakota,46123.0,657,15.0
2021-02-04,Tripp,South Dakota,46123.0,658,15.0
2021-02-05,Tripp,South Dakota,46123.0,658,15.0
2021-02-06,Tripp,South Dakota,46123.0,659,15.0
2021-02-07,Tripp,South Dakota,46123.0,659,15.0
2021-02-08,Tripp,South Dakota,46123.0,659,15.0
2021-02-09,Tripp,South Dakota,46123.0,659,15.0
2021-02-10,Tripp,South Dakota,46123.0,662,15.0
2021-02-11,Tripp,South Dakota,46123.0,667,15.0
2021-02-12,Tripp,South Dakota,46123.0,672,15.0
2021-02-13,Tripp,South Dakota,46123.0,673,15.0
2021-02-14,Tripp,South Dakota,46123.0,675,15.0
2021-02-15,Tripp,South Dakota,46123.0,675,15.0
2021-02-16,Tripp,South Dakota,46123.0,680,15.0
2021-02-17,Tripp,South Dakota,46123.0,681,15.0
2021-02-18,Tripp,South Dakota,46123.0,682,16.0
2021-02-19,Tripp,South Dakota,46123.0,684,16.0
2021-02-20,Tripp,South Dakota,46123.0,687,16.0
2021-02-21,Tripp,South Dakota,46123.0,688,16.0
2021-02-22,Tripp,South Dakota,46123.0,688,16.0
2021-02-23,Tripp,South Dakota,46123.0,692,16.0
2021-02-24,Tripp,South Dakota,46123.0,693,16.0
2021-02-25,Tripp,South Dakota,46123.0,694,16.0
2021-02-26,Tripp,South Dakota,46123.0,696,16.0
2021-02-27,Tripp,South Dakota,46123.0,698,16.0
2021-02-28,Tripp,South Dakota,46123.0,699,16.0
2021-03-01,Tripp,South Dakota,46123.0,699,16.0
2021-03-02,Tripp,South Dakota,46123.0,702,16.0
2021-03-03,Tripp,South Dakota,46123.0,703,16.0
2021-03-04,Tripp,South Dakota,46123.0,704,16.0
2021-03-05,Tripp,South Dakota,46123.0,704,16.0
2021-03-06,Tripp,South Dakota,46123.0,705,16.0
2021-03-07,Tripp,South Dakota,46123.0,713,16.0
2021-03-08,Tripp,South Dakota,46123.0,713,16.0
2021-03-09,Tripp,South Dakota,46123.0,716,16.0
2021-03-10,Tripp,South Dakota,46123.0,719,16.0
2021-03-11,Tripp,South Dakota,46123.0,719,16.0
