date,county,state,fips,cases,deaths
2020-03-07,Riverside,California,6065.0,1,0.0
2020-03-08,Riverside,California,6065.0,1,0.0
2020-03-09,Riverside,California,6065.0,4,0.0
2020-03-10,Riverside,California,6065.0,4,0.0
2020-03-11,Riverside,California,6065.0,4,0.0
2020-03-12,Riverside,California,6065.0,6,0.0
2020-03-13,Riverside,California,6065.0,10,0.0
2020-03-14,Riverside,California,6065.0,10,0.0
2020-03-15,Riverside,California,6065.0,12,0.0
2020-03-16,Riverside,California,6065.0,14,2.0
2020-03-17,Riverside,California,6065.0,16,3.0
2020-03-18,Riverside,California,6065.0,16,3.0
2020-03-19,Riverside,California,6065.0,22,3.0
2020-03-20,Riverside,California,6065.0,28,4.0
2020-03-21,Riverside,California,6065.0,30,5.0
2020-03-22,Riverside,California,6065.0,45,6.0
2020-03-23,Riverside,California,6065.0,48,6.0
2020-03-24,Riverside,California,6065.0,59,6.0
2020-03-25,Riverside,California,6065.0,107,8.0
2020-03-26,Riverside,California,6065.0,107,8.0
2020-03-27,Riverside,California,6065.0,185,8.0
2020-03-28,Riverside,California,6065.0,185,8.0
2020-03-29,Riverside,California,6065.0,195,8.0
2020-03-30,Riverside,California,6065.0,291,9.0
2020-03-31,Riverside,California,6065.0,371,13.0
2020-04-01,Riverside,California,6065.0,371,13.0
2020-04-02,Riverside,California,6065.0,493,14.0
2020-04-03,Riverside,California,6065.0,638,15.0
2020-04-04,Riverside,California,6065.0,665,18.0
2020-04-05,Riverside,California,6065.0,799,19.0
2020-04-06,Riverside,California,6065.0,946,25.0
2020-04-07,Riverside,California,6065.0,1016,28.0
2020-04-08,Riverside,California,6065.0,1179,32.0
2020-04-09,Riverside,California,6065.0,1280,33.0
2020-04-10,Riverside,California,6065.0,1350,39.0
2020-04-11,Riverside,California,6065.0,1431,41.0
2020-04-12,Riverside,California,6065.0,1619,41.0
2020-04-13,Riverside,California,6065.0,1751,50.0
2020-04-14,Riverside,California,6065.0,1961,50.0
2020-04-15,Riverside,California,6065.0,2105,54.0
2020-04-16,Riverside,California,6065.0,2264,59.0
2020-04-17,Riverside,California,6065.0,2457,69.0
2020-04-18,Riverside,California,6065.0,2602,74.0
2020-04-19,Riverside,California,6065.0,2638,75.0
2020-04-20,Riverside,California,6065.0,2847,85.0
2020-04-21,Riverside,California,6065.0,2960,93.0
2020-04-22,Riverside,California,6065.0,3084,99.0
2020-04-23,Riverside,California,6065.0,3218,109.0
2020-04-24,Riverside,California,6065.0,3315,112.0
2020-04-25,Riverside,California,6065.0,3409,117.0
2020-04-26,Riverside,California,6065.0,3563,118.0
2020-04-27,Riverside,California,6065.0,3643,141.0
2020-04-28,Riverside,California,6065.0,3735,141.0
2020-04-29,Riverside,California,6065.0,3942,143.0
2020-04-30,Riverside,California,6065.0,4031,149.0
2020-05-01,Riverside,California,6065.0,4079,156.0
2020-05-02,Riverside,California,6065.0,4164,167.0
2020-05-03,Riverside,California,6065.0,4180,167.0
2020-05-04,Riverside,California,6065.0,4354,181.0
2020-05-05,Riverside,California,6065.0,4454,184.0
2020-05-06,Riverside,California,6065.0,4672,190.0
2020-05-07,Riverside,California,6065.0,4756,194.0
