date,county,state,fips,cases,deaths
2020-03-03,Contra Costa,California,6013.0,1,0.0
2020-03-04,Contra Costa,California,6013.0,1,0.0
2020-03-05,Contra Costa,California,6013.0,1,0.0
2020-03-06,Contra Costa,California,6013.0,4,0.0
2020-03-07,Contra Costa,California,6013.0,4,0.0
2020-03-08,Contra Costa,California,6013.0,9,0.0
2020-03-09,Contra Costa,California,6013.0,9,0.0
2020-03-10,Contra Costa,California,6013.0,9,0.0
2020-03-11,Contra Costa,California,6013.0,9,0.0
2020-03-12,Contra Costa,California,6013.0,9,0.0
2020-03-13,Contra Costa,California,6013.0,25,0.0
2020-03-14,Contra Costa,California,6013.0,25,0.0
2020-03-15,Contra Costa,California,6013.0,25,0.0
2020-03-16,Contra Costa,California,6013.0,34,0.0
2020-03-17,Contra Costa,California,6013.0,34,0.0
2020-03-18,Contra Costa,California,6013.0,41,0.0
2020-03-19,Contra Costa,California,6013.0,42,0.0
2020-03-20,Contra Costa,California,6013.0,46,1.0
2020-03-21,Contra Costa,California,6013.0,51,1.0
2020-03-22,Contra Costa,California,6013.0,61,1.0
2020-03-23,Contra Costa,California,6013.0,71,1.0
2020-03-24,Contra Costa,California,6013.0,86,1.0
2020-03-25,Contra Costa,California,6013.0,108,1.0
2020-03-26,Contra Costa,California,6013.0,131,1.0
2020-03-27,Contra Costa,California,6013.0,151,2.0
2020-03-28,Contra Costa,California,6013.0,168,3.0
2020-03-29,Contra Costa,California,6013.0,175,3.0
2020-03-30,Contra Costa,California,6013.0,187,3.0
2020-03-31,Contra Costa,California,6013.0,222,3.0
2020-04-01,Contra Costa,California,6013.0,250,3.0
2020-04-02,Contra Costa,California,6013.0,276,3.0
2020-04-03,Contra Costa,California,6013.0,307,5.0
2020-04-04,Contra Costa,California,6013.0,353,5.0
2020-04-05,Contra Costa,California,6013.0,386,6.0
2020-04-06,Contra Costa,California,6013.0,417,7.0
2020-04-07,Contra Costa,California,6013.0,442,7.0
2020-04-08,Contra Costa,California,6013.0,462,7.0
2020-04-09,Contra Costa,California,6013.0,484,8.0
2020-04-10,Contra Costa,California,6013.0,511,9.0
2020-04-11,Contra Costa,California,6013.0,530,11.0
2020-04-12,Contra Costa,California,6013.0,539,11.0
2020-04-13,Contra Costa,California,6013.0,552,11.0
2020-04-14,Contra Costa,California,6013.0,600,12.0
2020-04-15,Contra Costa,California,6013.0,615,14.0
2020-04-16,Contra Costa,California,6013.0,631,16.0
2020-04-17,Contra Costa,California,6013.0,648,19.0
2020-04-18,Contra Costa,California,6013.0,685,19.0
