date,county,state,fips,cases,deaths
2020-03-06,Rockland,New York,36087.0,2,0.0
2020-03-07,Rockland,New York,36087.0,2,0.0
2020-03-08,Rockland,New York,36087.0,2,0.0
2020-03-09,Rockland,New York,36087.0,4,0.0
2020-03-10,Rockland,New York,36087.0,6,0.0
2020-03-11,Rockland,New York,36087.0,6,0.0
2020-03-12,Rockland,New York,36087.0,7,0.0
2020-03-13,Rockland,New York,36087.0,9,0.0
2020-03-14,Rockland,New York,36087.0,12,1.0
2020-03-15,Rockland,New York,36087.0,13,1.0
2020-03-16,Rockland,New York,36087.0,16,1.0
2020-03-17,Rockland,New York,36087.0,22,2.0
2020-03-18,Rockland,New York,36087.0,30,2.0
2020-03-19,Rockland,New York,36087.0,53,2.0
2020-03-20,Rockland,New York,36087.0,101,3.0
2020-03-21,Rockland,New York,36087.0,262,3.0
2020-03-22,Rockland,New York,36087.0,455,3.0
2020-03-23,Rockland,New York,36087.0,592,5.0
2020-03-24,Rockland,New York,36087.0,671,5.0
2020-03-25,Rockland,New York,36087.0,1069,7.0
2020-03-26,Rockland,New York,36087.0,1197,7.0
2020-03-27,Rockland,New York,36087.0,1457,8.0
2020-03-28,Rockland,New York,36087.0,1896,8.0
2020-03-29,Rockland,New York,36087.0,2209,8.0
2020-03-30,Rockland,New York,36087.0,2511,8.0
2020-03-31,Rockland,New York,36087.0,2863,8.0
2020-04-01,Rockland,New York,36087.0,3321,29.0
2020-04-02,Rockland,New York,36087.0,3751,42.0
2020-04-03,Rockland,New York,36087.0,4289,42.0
2020-04-04,Rockland,New York,36087.0,4872,69.0
2020-04-05,Rockland,New York,36087.0,5362,69.0
2020-04-06,Rockland,New York,36087.0,5703,76.0
2020-04-07,Rockland,New York,36087.0,5990,119.0
2020-04-08,Rockland,New York,36087.0,6413,98.0
2020-04-09,Rockland,New York,36087.0,6665,117.0
2020-04-10,Rockland,New York,36087.0,7122,135.0
2020-04-11,Rockland,New York,36087.0,7477,153.0
2020-04-12,Rockland,New York,36087.0,7721,166.0
2020-04-13,Rockland,New York,36087.0,7965,182.0
2020-04-14,Rockland,New York,36087.0,8335,192.0
2020-04-15,Rockland,New York,36087.0,8474,212.0
2020-04-16,Rockland,New York,36087.0,8752,234.0
2020-04-17,Rockland,New York,36087.0,8987,234.0
2020-04-18,Rockland,New York,36087.0,9171,234.0
2020-04-19,Rockland,New York,36087.0,9364,276.0
2020-04-20,Rockland,New York,36087.0,9457,286.0
2020-04-21,Rockland,New York,36087.0,9568,297.0
2020-04-22,Rockland,New York,36087.0,9699,309.0
2020-04-23,Rockland,New York,36087.0,9828,322.0
2020-04-24,Rockland,New York,36087.0,10091,334.0
2020-04-25,Rockland,New York,36087.0,11091,340.0
2020-04-26,Rockland,New York,36087.0,11256,349.0
2020-04-27,Rockland,New York,36087.0,11366,355.0
2020-04-28,Rockland,New York,36087.0,11453,359.0
2020-04-29,Rockland,New York,36087.0,11586,364.0
2020-04-30,Rockland,New York,36087.0,11708,370.0
2020-05-01,Rockland,New York,36087.0,11812,371.0
2020-05-02,Rockland,New York,36087.0,11945,376.0
2020-05-03,Rockland,New York,36087.0,12025,378.0
2020-05-04,Rockland,New York,36087.0,12095,380.0
2020-05-05,Rockland,New York,36087.0,12144,383.0
2020-05-06,Rockland,New York,36087.0,12204,400.0
2020-05-07,Rockland,New York,36087.0,12280,404.0
2020-05-08,Rockland,New York,36087.0,12349,404.0
2020-05-09,Rockland,New York,36087.0,12400,410.0
2020-05-10,Rockland,New York,36087.0,12451,417.0
2020-05-11,Rockland,New York,36087.0,12484,421.0
2020-05-12,Rockland,New York,36087.0,12504,427.0
2020-05-13,Rockland,New York,36087.0,12543,429.0
2020-05-14,Rockland,New York,36087.0,12596,431.0
2020-05-15,Rockland,New York,36087.0,12637,434.0
2020-05-16,Rockland,New York,36087.0,12688,439.0
2020-05-17,Rockland,New York,36087.0,12758,440.0
2020-05-18,Rockland,New York,36087.0,12777,442.0
2020-05-19,Rockland,New York,36087.0,12798,445.0
2020-05-20,Rockland,New York,36087.0,12831,447.0
2020-05-21,Rockland,New York,36087.0,12877,448.0
2020-05-22,Rockland,New York,36087.0,12905,450.0
2020-05-23,Rockland,New York,36087.0,12934,452.0
2020-05-24,Rockland,New York,36087.0,12963,454.0
2020-05-25,Rockland,New York,36087.0,12996,454.0
2020-05-26,Rockland,New York,36087.0,13019,455.0
2020-05-27,Rockland,New York,36087.0,13047,455.0
2020-05-28,Rockland,New York,36087.0,13076,457.0
2020-05-29,Rockland,New York,36087.0,13100,457.0
2020-05-30,Rockland,New York,36087.0,13128,457.0
2020-05-31,Rockland,New York,36087.0,13151,458.0
2020-06-01,Rockland,New York,36087.0,13185,458.0
2020-06-02,Rockland,New York,36087.0,13223,463.0
2020-06-03,Rockland,New York,36087.0,13259,464.0
2020-06-04,Rockland,New York,36087.0,13280,464.0
2020-06-05,Rockland,New York,36087.0,13297,465.0
2020-06-06,Rockland,New York,36087.0,13315,465.0
2020-06-07,Rockland,New York,36087.0,13325,465.0
2020-06-08,Rockland,New York,36087.0,13340,465.0
2020-06-09,Rockland,New York,36087.0,13353,465.0
2020-06-10,Rockland,New York,36087.0,13372,466.0
2020-06-11,Rockland,New York,36087.0,13385,466.0
2020-06-12,Rockland,New York,36087.0,13396,466.0
2020-06-13,Rockland,New York,36087.0,13411,466.0
2020-06-14,Rockland,New York,36087.0,13423,466.0
2020-06-15,Rockland,New York,36087.0,13441,466.0
2020-06-16,Rockland,New York,36087.0,13460,468.0
2020-06-17,Rockland,New York,36087.0,13467,469.0
2020-06-18,Rockland,New York,36087.0,13474,469.0
2020-06-19,Rockland,New York,36087.0,13486,469.0
2020-06-20,Rockland,New York,36087.0,13495,469.0
2020-06-21,Rockland,New York,36087.0,13504,469.0
2020-06-22,Rockland,New York,36087.0,13514,469.0
2020-06-23,Rockland,New York,36087.0,13529,469.0
2020-06-24,Rockland,New York,36087.0,13534,469.0
2020-06-25,Rockland,New York,36087.0,13549,469.0
2020-06-26,Rockland,New York,36087.0,13557,469.0
2020-06-27,Rockland,New York,36087.0,13566,469.0
2020-06-28,Rockland,New York,36087.0,13576,469.0
2020-06-29,Rockland,New York,36087.0,13580,469.0
2020-06-30,Rockland,New York,36087.0,13590,469.0
2020-07-01,Rockland,New York,36087.0,13602,469.0
2020-07-02,Rockland,New York,36087.0,13612,469.0
2020-07-03,Rockland,New York,36087.0,13623,469.0
2020-07-04,Rockland,New York,36087.0,13629,469.0
2020-07-05,Rockland,New York,36087.0,13648,469.0
2020-07-06,Rockland,New York,36087.0,13656,469.0
2020-07-07,Rockland,New York,36087.0,13668,469.0
2020-07-08,Rockland,New York,36087.0,13679,469.0
2020-07-09,Rockland,New York,36087.0,13683,469.0
2020-07-10,Rockland,New York,36087.0,13691,469.0
2020-07-11,Rockland,New York,36087.0,13700,469.0
2020-07-12,Rockland,New York,36087.0,13716,469.0
2020-07-13,Rockland,New York,36087.0,13719,469.0
2020-07-14,Rockland,New York,36087.0,13733,469.0
2020-07-15,Rockland,New York,36087.0,13743,469.0
2020-07-16,Rockland,New York,36087.0,13763,469.0
