date,county,state,fips,cases,deaths
2020-04-21,Lander,Nevada,32015.0,1,0.0
2020-04-22,Lander,Nevada,32015.0,1,0.0
2020-04-23,Lander,Nevada,32015.0,1,0.0
2020-04-24,Lander,Nevada,32015.0,1,0.0
2020-04-25,Lander,Nevada,32015.0,1,0.0
2020-04-26,Lander,Nevada,32015.0,1,0.0
2020-04-27,Lander,Nevada,32015.0,1,0.0
2020-04-28,Lander,Nevada,32015.0,1,0.0
2020-04-29,Lander,Nevada,32015.0,7,0.0
2020-04-30,Lander,Nevada,32015.0,7,0.0
2020-05-01,Lander,Nevada,32015.0,8,0.0
2020-05-02,Lander,Nevada,32015.0,8,0.0
2020-05-03,Lander,Nevada,32015.0,8,0.0
2020-05-04,Lander,Nevada,32015.0,8,0.0
2020-05-05,Lander,Nevada,32015.0,13,0.0
2020-05-06,Lander,Nevada,32015.0,14,0.0
2020-05-07,Lander,Nevada,32015.0,17,0.0
2020-05-08,Lander,Nevada,32015.0,17,0.0
2020-05-09,Lander,Nevada,32015.0,17,0.0
2020-05-10,Lander,Nevada,32015.0,17,0.0
2020-05-11,Lander,Nevada,32015.0,17,0.0
2020-05-12,Lander,Nevada,32015.0,17,0.0
2020-05-13,Lander,Nevada,32015.0,19,0.0
2020-05-14,Lander,Nevada,32015.0,19,0.0
2020-05-15,Lander,Nevada,32015.0,19,0.0
2020-05-16,Lander,Nevada,32015.0,19,0.0
2020-05-17,Lander,Nevada,32015.0,19,0.0
2020-05-18,Lander,Nevada,32015.0,19,0.0
2020-05-19,Lander,Nevada,32015.0,19,0.0
2020-05-20,Lander,Nevada,32015.0,19,0.0
2020-05-21,Lander,Nevada,32015.0,19,0.0
2020-05-22,Lander,Nevada,32015.0,22,0.0
2020-05-23,Lander,Nevada,32015.0,22,0.0
2020-05-24,Lander,Nevada,32015.0,22,0.0
2020-05-25,Lander,Nevada,32015.0,22,0.0
2020-05-26,Lander,Nevada,32015.0,22,0.0
2020-05-27,Lander,Nevada,32015.0,22,0.0
2020-05-28,Lander,Nevada,32015.0,22,0.0
2020-05-29,Lander,Nevada,32015.0,22,0.0
2020-05-30,Lander,Nevada,32015.0,22,0.0
2020-05-31,Lander,Nevada,32015.0,22,0.0
2020-06-01,Lander,Nevada,32015.0,22,0.0
2020-06-02,Lander,Nevada,32015.0,23,0.0
2020-06-03,Lander,Nevada,32015.0,23,0.0
2020-06-04,Lander,Nevada,32015.0,23,0.0
2020-06-05,Lander,Nevada,32015.0,23,0.0
2020-06-06,Lander,Nevada,32015.0,23,0.0
2020-06-07,Lander,Nevada,32015.0,23,0.0
2020-06-08,Lander,Nevada,32015.0,23,0.0
2020-06-09,Lander,Nevada,32015.0,23,0.0
2020-06-10,Lander,Nevada,32015.0,23,0.0
2020-06-11,Lander,Nevada,32015.0,23,0.0
2020-06-12,Lander,Nevada,32015.0,23,0.0
2020-06-13,Lander,Nevada,32015.0,23,0.0
2020-06-14,Lander,Nevada,32015.0,23,0.0
2020-06-15,Lander,Nevada,32015.0,23,0.0
2020-06-16,Lander,Nevada,32015.0,23,0.0
2020-06-17,Lander,Nevada,32015.0,23,0.0
2020-06-18,Lander,Nevada,32015.0,23,0.0
2020-06-19,Lander,Nevada,32015.0,24,0.0
2020-06-20,Lander,Nevada,32015.0,24,0.0
2020-06-21,Lander,Nevada,32015.0,24,0.0
2020-06-22,Lander,Nevada,32015.0,27,0.0
2020-06-23,Lander,Nevada,32015.0,28,0.0
2020-06-24,Lander,Nevada,32015.0,33,0.0
2020-06-25,Lander,Nevada,32015.0,32,0.0
2020-06-26,Lander,Nevada,32015.0,32,0.0
2020-06-27,Lander,Nevada,32015.0,32,0.0
2020-06-28,Lander,Nevada,32015.0,35,0.0
2020-06-29,Lander,Nevada,32015.0,35,0.0
2020-06-30,Lander,Nevada,32015.0,35,0.0
2020-07-01,Lander,Nevada,32015.0,35,0.0
2020-07-02,Lander,Nevada,32015.0,35,0.0
2020-07-03,Lander,Nevada,32015.0,35,0.0
2020-07-04,Lander,Nevada,32015.0,38,0.0
2020-07-05,Lander,Nevada,32015.0,38,0.0
2020-07-06,Lander,Nevada,32015.0,38,0.0
2020-07-07,Lander,Nevada,32015.0,38,0.0
2020-07-08,Lander,Nevada,32015.0,38,0.0
2020-07-09,Lander,Nevada,32015.0,38,0.0
2020-07-10,Lander,Nevada,32015.0,40,0.0
2020-07-11,Lander,Nevada,32015.0,43,0.0
2020-07-12,Lander,Nevada,32015.0,43,0.0
2020-07-13,Lander,Nevada,32015.0,43,0.0
2020-07-14,Lander,Nevada,32015.0,45,0.0
2020-07-15,Lander,Nevada,32015.0,45,0.0
2020-07-16,Lander,Nevada,32015.0,47,0.0
2020-07-17,Lander,Nevada,32015.0,47,0.0
2020-07-18,Lander,Nevada,32015.0,47,0.0
2020-07-19,Lander,Nevada,32015.0,47,0.0
2020-07-20,Lander,Nevada,32015.0,47,0.0
2020-07-21,Lander,Nevada,32015.0,47,0.0
2020-07-22,Lander,Nevada,32015.0,47,0.0
2020-07-23,Lander,Nevada,32015.0,47,0.0
2020-07-24,Lander,Nevada,32015.0,47,1.0
2020-07-25,Lander,Nevada,32015.0,47,1.0
2020-07-26,Lander,Nevada,32015.0,51,1.0
2020-07-27,Lander,Nevada,32015.0,51,1.0
2020-07-28,Lander,Nevada,32015.0,50,1.0
2020-07-29,Lander,Nevada,32015.0,49,1.0
2020-07-30,Lander,Nevada,32015.0,49,1.0
2020-07-31,Lander,Nevada,32015.0,49,1.0
2020-08-01,Lander,Nevada,32015.0,50,1.0
2020-08-02,Lander,Nevada,32015.0,50,1.0
2020-08-03,Lander,Nevada,32015.0,50,1.0
2020-08-04,Lander,Nevada,32015.0,50,1.0
2020-08-05,Lander,Nevada,32015.0,50,1.0
2020-08-06,Lander,Nevada,32015.0,50,1.0
2020-08-07,Lander,Nevada,32015.0,51,1.0
2020-08-08,Lander,Nevada,32015.0,51,1.0
2020-08-09,Lander,Nevada,32015.0,51,1.0
2020-08-10,Lander,Nevada,32015.0,51,1.0
2020-08-11,Lander,Nevada,32015.0,51,1.0
2020-08-12,Lander,Nevada,32015.0,51,1.0
2020-08-13,Lander,Nevada,32015.0,52,1.0
2020-08-14,Lander,Nevada,32015.0,52,1.0
2020-08-15,Lander,Nevada,32015.0,52,1.0
2020-08-16,Lander,Nevada,32015.0,52,1.0
2020-08-17,Lander,Nevada,32015.0,52,1.0
2020-08-18,Lander,Nevada,32015.0,52,1.0
2020-08-19,Lander,Nevada,32015.0,52,1.0
2020-08-20,Lander,Nevada,32015.0,54,1.0
2020-08-21,Lander,Nevada,32015.0,54,1.0
2020-08-22,Lander,Nevada,32015.0,54,1.0
2020-08-23,Lander,Nevada,32015.0,54,1.0
2020-08-24,Lander,Nevada,32015.0,56,1.0
2020-08-25,Lander,Nevada,32015.0,57,1.0
2020-08-26,Lander,Nevada,32015.0,58,1.0
2020-08-27,Lander,Nevada,32015.0,59,1.0
2020-08-28,Lander,Nevada,32015.0,59,1.0
2020-08-29,Lander,Nevada,32015.0,59,1.0
2020-08-30,Lander,Nevada,32015.0,59,1.0
2020-08-31,Lander,Nevada,32015.0,59,1.0
2020-09-01,Lander,Nevada,32015.0,61,1.0
2020-09-02,Lander,Nevada,32015.0,63,1.0
2020-09-03,Lander,Nevada,32015.0,63,1.0
2020-09-04,Lander,Nevada,32015.0,65,1.0
2020-09-05,Lander,Nevada,32015.0,65,1.0
2020-09-06,Lander,Nevada,32015.0,65,1.0
2020-09-07,Lander,Nevada,32015.0,65,1.0
2020-09-08,Lander,Nevada,32015.0,65,1.0
2020-09-09,Lander,Nevada,32015.0,66,1.0
2020-09-10,Lander,Nevada,32015.0,67,1.0
2020-09-11,Lander,Nevada,32015.0,67,1.0
2020-09-12,Lander,Nevada,32015.0,67,1.0
2020-09-13,Lander,Nevada,32015.0,67,1.0
2020-09-14,Lander,Nevada,32015.0,69,1.0
2020-09-15,Lander,Nevada,32015.0,69,1.0
2020-09-16,Lander,Nevada,32015.0,70,1.0
2020-09-17,Lander,Nevada,32015.0,70,1.0
2020-09-18,Lander,Nevada,32015.0,70,1.0
2020-09-19,Lander,Nevada,32015.0,70,1.0
2020-09-20,Lander,Nevada,32015.0,70,1.0
2020-09-21,Lander,Nevada,32015.0,70,1.0
2020-09-22,Lander,Nevada,32015.0,70,1.0
2020-09-23,Lander,Nevada,32015.0,70,1.0
2020-09-24,Lander,Nevada,32015.0,70,1.0
2020-09-25,Lander,Nevada,32015.0,70,1.0
2020-09-26,Lander,Nevada,32015.0,70,1.0
2020-09-27,Lander,Nevada,32015.0,71,1.0
2020-09-28,Lander,Nevada,32015.0,73,1.0
2020-09-29,Lander,Nevada,32015.0,73,1.0
2020-09-30,Lander,Nevada,32015.0,74,1.0
2020-10-01,Lander,Nevada,32015.0,76,1.0
2020-10-02,Lander,Nevada,32015.0,76,1.0
2020-10-03,Lander,Nevada,32015.0,77,1.0
2020-10-04,Lander,Nevada,32015.0,77,1.0
2020-10-05,Lander,Nevada,32015.0,83,1.0
2020-10-06,Lander,Nevada,32015.0,83,1.0
2020-10-07,Lander,Nevada,32015.0,83,1.0
2020-10-08,Lander,Nevada,32015.0,87,1.0
2020-10-09,Lander,Nevada,32015.0,88,1.0
2020-10-10,Lander,Nevada,32015.0,89,1.0
2020-10-11,Lander,Nevada,32015.0,89,1.0
2020-10-12,Lander,Nevada,32015.0,89,1.0
2020-10-13,Lander,Nevada,32015.0,89,1.0
2020-10-14,Lander,Nevada,32015.0,89,1.0
2020-10-15,Lander,Nevada,32015.0,90,2.0
2020-10-16,Lander,Nevada,32015.0,90,2.0
2020-10-17,Lander,Nevada,32015.0,89,2.0
2020-10-18,Lander,Nevada,32015.0,90,2.0
2020-10-19,Lander,Nevada,32015.0,90,2.0
2020-10-20,Lander,Nevada,32015.0,93,2.0
2020-10-21,Lander,Nevada,32015.0,96,2.0
2020-10-22,Lander,Nevada,32015.0,102,2.0
2020-10-23,Lander,Nevada,32015.0,102,4.0
2020-10-24,Lander,Nevada,32015.0,102,4.0
2020-10-25,Lander,Nevada,32015.0,102,4.0
2020-10-26,Lander,Nevada,32015.0,102,4.0
2020-10-27,Lander,Nevada,32015.0,107,4.0
2020-10-28,Lander,Nevada,32015.0,110,4.0
2020-10-29,Lander,Nevada,32015.0,110,4.0
2020-10-30,Lander,Nevada,32015.0,110,4.0
2020-10-31,Lander,Nevada,32015.0,110,4.0
2020-11-01,Lander,Nevada,32015.0,111,4.0
2020-11-02,Lander,Nevada,32015.0,111,4.0
2020-11-03,Lander,Nevada,32015.0,115,4.0
2020-11-04,Lander,Nevada,32015.0,116,4.0
2020-11-05,Lander,Nevada,32015.0,116,4.0
2020-11-06,Lander,Nevada,32015.0,118,4.0
2020-11-07,Lander,Nevada,32015.0,121,4.0
2020-11-08,Lander,Nevada,32015.0,122,4.0
2020-11-09,Lander,Nevada,32015.0,122,4.0
2020-11-10,Lander,Nevada,32015.0,123,4.0
2020-11-11,Lander,Nevada,32015.0,125,4.0
2020-11-12,Lander,Nevada,32015.0,126,4.0
2020-11-13,Lander,Nevada,32015.0,132,4.0
2020-11-14,Lander,Nevada,32015.0,135,4.0
2020-11-15,Lander,Nevada,32015.0,139,4.0
2020-11-16,Lander,Nevada,32015.0,144,4.0
2020-11-17,Lander,Nevada,32015.0,145,4.0
2020-11-18,Lander,Nevada,32015.0,148,4.0
2020-11-19,Lander,Nevada,32015.0,149,4.0
2020-11-20,Lander,Nevada,32015.0,156,4.0
2020-11-21,Lander,Nevada,32015.0,160,4.0
2020-11-22,Lander,Nevada,32015.0,161,4.0
2020-11-23,Lander,Nevada,32015.0,169,4.0
2020-11-24,Lander,Nevada,32015.0,182,4.0
2020-11-25,Lander,Nevada,32015.0,182,4.0
2020-11-26,Lander,Nevada,32015.0,184,4.0
2020-11-27,Lander,Nevada,32015.0,193,4.0
2020-11-28,Lander,Nevada,32015.0,203,4.0
2020-11-29,Lander,Nevada,32015.0,204,4.0
2020-11-30,Lander,Nevada,32015.0,208,4.0
2020-12-01,Lander,Nevada,32015.0,228,4.0
2020-12-02,Lander,Nevada,32015.0,236,4.0
2020-12-03,Lander,Nevada,32015.0,238,4.0
2020-12-04,Lander,Nevada,32015.0,248,4.0
2020-12-05,Lander,Nevada,32015.0,253,4.0
2020-12-06,Lander,Nevada,32015.0,260,4.0
2020-12-07,Lander,Nevada,32015.0,273,4.0
2020-12-08,Lander,Nevada,32015.0,282,4.0
2020-12-09,Lander,Nevada,32015.0,290,4.0
2020-12-10,Lander,Nevada,32015.0,297,4.0
2020-12-11,Lander,Nevada,32015.0,299,4.0
2020-12-12,Lander,Nevada,32015.0,308,4.0
2020-12-13,Lander,Nevada,32015.0,321,4.0
2020-12-14,Lander,Nevada,32015.0,323,4.0
2020-12-15,Lander,Nevada,32015.0,323,5.0
2020-12-16,Lander,Nevada,32015.0,337,6.0
2020-12-17,Lander,Nevada,32015.0,343,6.0
2020-12-18,Lander,Nevada,32015.0,349,6.0
2020-12-19,Lander,Nevada,32015.0,357,6.0
2020-12-20,Lander,Nevada,32015.0,360,6.0
2020-12-21,Lander,Nevada,32015.0,363,6.0
2020-12-22,Lander,Nevada,32015.0,369,6.0
2020-12-23,Lander,Nevada,32015.0,370,6.0
2020-12-24,Lander,Nevada,32015.0,375,6.0
2020-12-25,Lander,Nevada,32015.0,379,6.0
2020-12-26,Lander,Nevada,32015.0,381,6.0
2020-12-27,Lander,Nevada,32015.0,382,6.0
2020-12-28,Lander,Nevada,32015.0,382,6.0
2020-12-29,Lander,Nevada,32015.0,383,7.0
2020-12-30,Lander,Nevada,32015.0,384,7.0
2020-12-31,Lander,Nevada,32015.0,384,7.0
2021-01-01,Lander,Nevada,32015.0,388,7.0
2021-01-02,Lander,Nevada,32015.0,388,7.0
2021-01-03,Lander,Nevada,32015.0,391,7.0
2021-01-04,Lander,Nevada,32015.0,391,7.0
2021-01-05,Lander,Nevada,32015.0,391,7.0
2021-01-06,Lander,Nevada,32015.0,392,7.0
2021-01-07,Lander,Nevada,32015.0,395,8.0
2021-01-08,Lander,Nevada,32015.0,395,8.0
2021-01-09,Lander,Nevada,32015.0,398,8.0
2021-01-10,Lander,Nevada,32015.0,403,8.0
2021-01-11,Lander,Nevada,32015.0,403,8.0
2021-01-12,Lander,Nevada,32015.0,403,8.0
2021-01-13,Lander,Nevada,32015.0,406,8.0
2021-01-14,Lander,Nevada,32015.0,408,8.0
2021-01-15,Lander,Nevada,32015.0,410,8.0
2021-01-16,Lander,Nevada,32015.0,414,8.0
2021-01-17,Lander,Nevada,32015.0,415,8.0
2021-01-18,Lander,Nevada,32015.0,421,8.0
2021-01-19,Lander,Nevada,32015.0,422,8.0
2021-01-20,Lander,Nevada,32015.0,425,8.0
2021-01-21,Lander,Nevada,32015.0,425,8.0
2021-01-22,Lander,Nevada,32015.0,426,8.0
2021-01-23,Lander,Nevada,32015.0,427,8.0
2021-01-24,Lander,Nevada,32015.0,427,8.0
2021-01-25,Lander,Nevada,32015.0,428,8.0
2021-01-26,Lander,Nevada,32015.0,430,8.0
2021-01-27,Lander,Nevada,32015.0,432,8.0
2021-01-28,Lander,Nevada,32015.0,432,8.0
2021-01-29,Lander,Nevada,32015.0,433,8.0
2021-01-30,Lander,Nevada,32015.0,433,8.0
2021-01-31,Lander,Nevada,32015.0,433,8.0
2021-02-01,Lander,Nevada,32015.0,433,8.0
2021-02-02,Lander,Nevada,32015.0,433,8.0
2021-02-03,Lander,Nevada,32015.0,435,8.0
2021-02-04,Lander,Nevada,32015.0,435,8.0
2021-02-05,Lander,Nevada,32015.0,437,8.0
2021-02-06,Lander,Nevada,32015.0,438,8.0
2021-02-07,Lander,Nevada,32015.0,439,8.0
2021-02-08,Lander,Nevada,32015.0,439,8.0
2021-02-09,Lander,Nevada,32015.0,439,8.0
2021-02-10,Lander,Nevada,32015.0,439,8.0
2021-02-11,Lander,Nevada,32015.0,439,8.0
2021-02-12,Lander,Nevada,32015.0,440,8.0
2021-02-13,Lander,Nevada,32015.0,440,8.0
2021-02-14,Lander,Nevada,32015.0,440,8.0
2021-02-15,Lander,Nevada,32015.0,441,8.0
2021-02-16,Lander,Nevada,32015.0,441,8.0
2021-02-17,Lander,Nevada,32015.0,441,8.0
2021-02-18,Lander,Nevada,32015.0,441,8.0
2021-02-19,Lander,Nevada,32015.0,441,8.0
2021-02-20,Lander,Nevada,32015.0,441,8.0
2021-02-21,Lander,Nevada,32015.0,441,8.0
2021-02-22,Lander,Nevada,32015.0,441,8.0
2021-02-23,Lander,Nevada,32015.0,442,8.0
2021-02-24,Lander,Nevada,32015.0,442,8.0
2021-02-25,Lander,Nevada,32015.0,442,8.0
2021-02-26,Lander,Nevada,32015.0,441,8.0
2021-02-27,Lander,Nevada,32015.0,441,8.0
2021-02-28,Lander,Nevada,32015.0,442,8.0
2021-03-01,Lander,Nevada,32015.0,442,8.0
2021-03-02,Lander,Nevada,32015.0,442,8.0
2021-03-03,Lander,Nevada,32015.0,442,8.0
2021-03-04,Lander,Nevada,32015.0,443,9.0
2021-03-05,Lander,Nevada,32015.0,443,9.0
2021-03-06,Lander,Nevada,32015.0,443,9.0
2021-03-07,Lander,Nevada,32015.0,443,9.0
2021-03-08,Lander,Nevada,32015.0,443,9.0
2021-03-09,Lander,Nevada,32015.0,443,9.0
2021-03-10,Lander,Nevada,32015.0,443,9.0
2021-03-11,Lander,Nevada,32015.0,443,9.0
2021-03-12,Lander,Nevada,32015.0,443,9.0
2021-03-13,Lander,Nevada,32015.0,443,9.0
2021-03-14,Lander,Nevada,32015.0,443,9.0
2021-03-15,Lander,Nevada,32015.0,443,9.0
2021-03-16,Lander,Nevada,32015.0,443,9.0
2021-03-17,Lander,Nevada,32015.0,443,9.0
2021-03-18,Lander,Nevada,32015.0,443,9.0
2021-03-19,Lander,Nevada,32015.0,444,9.0
2021-03-20,Lander,Nevada,32015.0,444,9.0
