date,county,state,fips,cases,deaths
2020-03-16,York,Virginia,51199.0,1,0.0
2020-03-17,York,Maine,23031.0,1,0.0
2020-03-17,York,South Carolina,45091.0,1,0.0
2020-03-17,York,Virginia,51199.0,1,0.0
2020-03-18,York,Maine,23031.0,1,0.0
2020-03-18,York,Pennsylvania,42133.0,2,0.0
2020-03-18,York,South Carolina,45091.0,1,0.0
2020-03-18,York,Virginia,51199.0,1,0.0
2020-03-19,York,Maine,23031.0,3,0.0
2020-03-19,York,Pennsylvania,42133.0,2,0.0
2020-03-19,York,South Carolina,45091.0,1,0.0
2020-03-19,York,Virginia,51199.0,1,0.0
2020-03-20,York,Maine,23031.0,5,0.0
2020-03-20,York,Pennsylvania,42133.0,6,0.0
2020-03-20,York,South Carolina,45091.0,1,0.0
2020-03-20,York,Virginia,51199.0,3,0.0
2020-03-21,York,Maine,23031.0,8,0.0
2020-03-21,York,Pennsylvania,42133.0,9,0.0
2020-03-21,York,South Carolina,45091.0,2,0.0
2020-03-21,York,Virginia,51199.0,3,0.0
2020-03-22,York,Maine,23031.0,8,0.0
2020-03-22,York,Pennsylvania,42133.0,10,0.0
2020-03-22,York,South Carolina,45091.0,4,0.0
2020-03-22,York,Virginia,51199.0,5,0.0
2020-03-23,York,Maine,23031.0,12,0.0
2020-03-23,York,Pennsylvania,42133.0,10,0.0
2020-03-23,York,South Carolina,45091.0,7,0.0
2020-03-23,York,Virginia,51199.0,5,0.0
2020-03-24,York,Maine,23031.0,16,0.0
2020-03-24,York,Pennsylvania,42133.0,18,0.0
2020-03-24,York,South Carolina,45091.0,11,0.0
2020-03-24,York,Virginia,51199.0,6,0.0
2020-03-25,York,Maine,23031.0,23,0.0
2020-03-25,York,Pennsylvania,42133.0,20,0.0
2020-03-25,York,South Carolina,45091.0,18,0.0
2020-03-25,York,Virginia,51199.0,8,0.0
2020-03-26,York,Maine,23031.0,27,0.0
2020-03-26,York,Pennsylvania,42133.0,21,0.0
2020-03-26,York,South Carolina,45091.0,19,0.0
2020-03-26,York,Virginia,51199.0,9,0.0
2020-03-27,York,Maine,23031.0,33,0.0
2020-03-27,York,Pennsylvania,42133.0,29,0.0
2020-03-27,York,South Carolina,45091.0,19,0.0
2020-03-27,York,Virginia,51199.0,9,0.0
2020-03-28,York,Maine,23031.0,38,0.0
2020-03-28,York,Pennsylvania,42133.0,37,0.0
2020-03-28,York,South Carolina,45091.0,31,0.0
2020-03-28,York,Virginia,51199.0,9,0.0
2020-03-29,York,Maine,23031.0,47,0.0
2020-03-29,York,Pennsylvania,42133.0,43,0.0
2020-03-29,York,South Carolina,45091.0,36,0.0
2020-03-29,York,Virginia,51199.0,9,0.0
2020-03-30,York,Maine,23031.0,53,0.0
2020-03-30,York,Nebraska,31185.0,1,0.0
2020-03-30,York,Pennsylvania,42133.0,54,0.0
2020-03-30,York,South Carolina,45091.0,43,0.0
2020-03-30,York,Virginia,51199.0,11,0.0
2020-03-31,York,Maine,23031.0,59,1.0
2020-03-31,York,Nebraska,31185.0,1,0.0
2020-03-31,York,Pennsylvania,42133.0,66,0.0
2020-03-31,York,South Carolina,45091.0,56,1.0
2020-03-31,York,Virginia,51199.0,14,0.0
2020-04-01,York,Maine,23031.0,65,1.0
2020-04-01,York,Nebraska,31185.0,1,0.0
2020-04-01,York,Pennsylvania,42133.0,66,0.0
2020-04-01,York,South Carolina,45091.0,66,1.0
2020-04-01,York,Virginia,51199.0,16,0.0
2020-04-02,York,Maine,23031.0,74,1.0
2020-04-02,York,Nebraska,31185.0,1,0.0
2020-04-02,York,Pennsylvania,42133.0,102,1.0
2020-04-02,York,South Carolina,45091.0,66,1.0
2020-04-02,York,Virginia,51199.0,17,0.0
2020-04-03,York,Maine,23031.0,89,1.0
2020-04-03,York,Nebraska,31185.0,1,0.0
2020-04-03,York,Pennsylvania,42133.0,102,1.0
2020-04-03,York,South Carolina,45091.0,73,1.0
2020-04-03,York,Virginia,51199.0,17,0.0
2020-04-04,York,Maine,23031.0,95,2.0
2020-04-04,York,Nebraska,31185.0,1,0.0
2020-04-04,York,Pennsylvania,42133.0,144,1.0
2020-04-04,York,South Carolina,45091.0,81,2.0
2020-04-04,York,Virginia,51199.0,19,0.0
2020-04-05,York,Maine,23031.0,101,2.0
2020-04-05,York,Nebraska,31185.0,1,0.0
2020-04-05,York,Pennsylvania,42133.0,171,1.0
2020-04-05,York,South Carolina,45091.0,85,2.0
2020-04-05,York,Virginia,51199.0,20,0.0
2020-04-06,York,Maine,23031.0,108,2.0
2020-04-06,York,Nebraska,31185.0,1,0.0
2020-04-06,York,Pennsylvania,42133.0,189,1.0
2020-04-06,York,South Carolina,45091.0,95,2.0
2020-04-06,York,Virginia,51199.0,21,0.0
2020-04-07,York,Maine,23031.0,115,2.0
2020-04-07,York,Nebraska,31185.0,2,0.0
