date,county,state,fips,cases,deaths
2020-05-07,Harlan,Kentucky,21095.0,1,0.0
2020-05-08,Harlan,Kentucky,21095.0,1,0.0
2020-05-09,Harlan,Kentucky,21095.0,1,0.0
2020-05-10,Harlan,Kentucky,21095.0,1,0.0
2020-05-11,Harlan,Kentucky,21095.0,1,0.0
2020-05-12,Harlan,Kentucky,21095.0,1,0.0
2020-05-13,Harlan,Kentucky,21095.0,1,0.0
2020-05-14,Harlan,Kentucky,21095.0,1,0.0
2020-05-15,Harlan,Kentucky,21095.0,1,0.0
2020-05-16,Harlan,Kentucky,21095.0,1,0.0
2020-05-17,Harlan,Kentucky,21095.0,1,0.0
2020-05-18,Harlan,Kentucky,21095.0,1,0.0
2020-05-19,Harlan,Kentucky,21095.0,1,0.0
2020-05-20,Harlan,Kentucky,21095.0,1,0.0
2020-05-21,Harlan,Kentucky,21095.0,1,0.0
2020-05-22,Harlan,Kentucky,21095.0,1,0.0
2020-05-23,Harlan,Kentucky,21095.0,1,0.0
2020-05-24,Harlan,Kentucky,21095.0,1,0.0
2020-05-25,Harlan,Kentucky,21095.0,1,0.0
2020-05-26,Harlan,Kentucky,21095.0,1,0.0
2020-05-27,Harlan,Kentucky,21095.0,1,0.0
2020-05-28,Harlan,Kentucky,21095.0,1,0.0
2020-05-29,Harlan,Kentucky,21095.0,1,0.0
2020-05-30,Harlan,Kentucky,21095.0,1,0.0
2020-05-31,Harlan,Kentucky,21095.0,1,0.0
2020-06-01,Harlan,Kentucky,21095.0,4,0.0
2020-06-02,Harlan,Kentucky,21095.0,4,0.0
2020-06-03,Harlan,Kentucky,21095.0,4,0.0
2020-06-04,Harlan,Kentucky,21095.0,4,0.0
2020-06-05,Harlan,Kentucky,21095.0,4,0.0
2020-06-06,Harlan,Kentucky,21095.0,4,0.0
2020-06-07,Harlan,Kentucky,21095.0,4,0.0
2020-06-08,Harlan,Kentucky,21095.0,8,0.0
2020-06-09,Harlan,Kentucky,21095.0,8,0.0
2020-06-10,Harlan,Kentucky,21095.0,8,0.0
2020-06-11,Harlan,Kentucky,21095.0,8,0.0
2020-06-12,Harlan,Kentucky,21095.0,8,0.0
2020-06-13,Harlan,Kentucky,21095.0,11,0.0
2020-06-14,Harlan,Kentucky,21095.0,11,0.0
2020-06-15,Harlan,Kentucky,21095.0,13,0.0
2020-06-16,Harlan,Kentucky,21095.0,13,0.0
2020-06-17,Harlan,Kentucky,21095.0,15,0.0
2020-06-18,Harlan,Kentucky,21095.0,15,0.0
2020-06-19,Harlan,Kentucky,21095.0,16,1.0
2020-06-20,Harlan,Kentucky,21095.0,16,1.0
2020-06-21,Harlan,Kentucky,21095.0,17,1.0
2020-06-22,Harlan,Kentucky,21095.0,17,1.0
2020-06-23,Harlan,Kentucky,21095.0,18,2.0
2020-06-23,Harlan,Nebraska,31083.0,1,0.0
2020-06-24,Harlan,Kentucky,21095.0,18,2.0
2020-06-24,Harlan,Nebraska,31083.0,1,0.0
2020-06-25,Harlan,Kentucky,21095.0,18,2.0
2020-06-25,Harlan,Nebraska,31083.0,1,0.0
2020-06-26,Harlan,Kentucky,21095.0,18,2.0
2020-06-26,Harlan,Nebraska,31083.0,1,0.0
2020-06-27,Harlan,Kentucky,21095.0,21,2.0
2020-06-27,Harlan,Nebraska,31083.0,1,0.0
2020-06-28,Harlan,Kentucky,21095.0,22,2.0
2020-06-28,Harlan,Nebraska,31083.0,1,0.0
2020-06-29,Harlan,Kentucky,21095.0,23,2.0
2020-06-29,Harlan,Nebraska,31083.0,1,0.0
2020-06-30,Harlan,Kentucky,21095.0,23,2.0
2020-06-30,Harlan,Nebraska,31083.0,1,0.0
2020-07-01,Harlan,Kentucky,21095.0,24,2.0
2020-07-01,Harlan,Nebraska,31083.0,1,0.0
2020-07-02,Harlan,Kentucky,21095.0,26,2.0
2020-07-02,Harlan,Nebraska,31083.0,1,0.0
2020-07-03,Harlan,Kentucky,21095.0,27,2.0
2020-07-03,Harlan,Nebraska,31083.0,1,0.0
2020-07-04,Harlan,Kentucky,21095.0,27,2.0
2020-07-04,Harlan,Nebraska,31083.0,1,0.0
2020-07-05,Harlan,Kentucky,21095.0,27,2.0
2020-07-05,Harlan,Nebraska,31083.0,1,0.0
2020-07-06,Harlan,Kentucky,21095.0,31,2.0
2020-07-06,Harlan,Nebraska,31083.0,1,0.0
2020-07-07,Harlan,Kentucky,21095.0,32,2.0
2020-07-07,Harlan,Nebraska,31083.0,1,0.0
2020-07-08,Harlan,Kentucky,21095.0,33,2.0
2020-07-08,Harlan,Nebraska,31083.0,1,0.0
2020-07-09,Harlan,Kentucky,21095.0,33,2.0
2020-07-09,Harlan,Nebraska,31083.0,1,0.0
2020-07-10,Harlan,Kentucky,21095.0,35,2.0
2020-07-10,Harlan,Nebraska,31083.0,1,0.0
2020-07-11,Harlan,Kentucky,21095.0,37,2.0
2020-07-11,Harlan,Nebraska,31083.0,1,0.0
2020-07-12,Harlan,Kentucky,21095.0,37,2.0
2020-07-12,Harlan,Nebraska,31083.0,1,0.0
2020-07-13,Harlan,Kentucky,21095.0,37,2.0
2020-07-13,Harlan,Nebraska,31083.0,1,0.0
2020-07-14,Harlan,Kentucky,21095.0,45,2.0
2020-07-14,Harlan,Nebraska,31083.0,1,0.0
2020-07-15,Harlan,Kentucky,21095.0,58,2.0
2020-07-15,Harlan,Nebraska,31083.0,1,0.0
2020-07-16,Harlan,Kentucky,21095.0,61,2.0
2020-07-16,Harlan,Nebraska,31083.0,1,0.0
2020-07-17,Harlan,Kentucky,21095.0,64,2.0
2020-07-17,Harlan,Nebraska,31083.0,1,0.0
2020-07-18,Harlan,Kentucky,21095.0,65,2.0
2020-07-18,Harlan,Nebraska,31083.0,1,0.0
2020-07-19,Harlan,Kentucky,21095.0,78,2.0
2020-07-19,Harlan,Nebraska,31083.0,1,0.0
2020-07-20,Harlan,Kentucky,21095.0,83,2.0
2020-07-20,Harlan,Nebraska,31083.0,1,0.0
2020-07-21,Harlan,Kentucky,21095.0,105,2.0
2020-07-21,Harlan,Nebraska,31083.0,1,0.0
2020-07-22,Harlan,Kentucky,21095.0,107,2.0
2020-07-22,Harlan,Nebraska,31083.0,1,0.0
2020-07-23,Harlan,Kentucky,21095.0,126,2.0
2020-07-23,Harlan,Nebraska,31083.0,1,0.0
2020-07-24,Harlan,Kentucky,21095.0,143,2.0
2020-07-24,Harlan,Nebraska,31083.0,1,0.0
2020-07-25,Harlan,Kentucky,21095.0,157,2.0
2020-07-25,Harlan,Nebraska,31083.0,1,0.0
2020-07-26,Harlan,Kentucky,21095.0,162,3.0
2020-07-26,Harlan,Nebraska,31083.0,1,0.0
2020-07-27,Harlan,Kentucky,21095.0,163,3.0
2020-07-27,Harlan,Nebraska,31083.0,1,0.0
2020-07-28,Harlan,Kentucky,21095.0,175,3.0
2020-07-28,Harlan,Nebraska,31083.0,1,0.0
2020-07-29,Harlan,Kentucky,21095.0,177,3.0
2020-07-29,Harlan,Nebraska,31083.0,1,0.0
2020-07-30,Harlan,Kentucky,21095.0,178,3.0
2020-07-30,Harlan,Nebraska,31083.0,1,0.0
2020-07-31,Harlan,Kentucky,21095.0,193,3.0
2020-07-31,Harlan,Nebraska,31083.0,1,0.0
2020-08-01,Harlan,Kentucky,21095.0,198,3.0
2020-08-01,Harlan,Nebraska,31083.0,1,0.0
2020-08-02,Harlan,Kentucky,21095.0,200,3.0
2020-08-02,Harlan,Nebraska,31083.0,1,0.0
2020-08-03,Harlan,Kentucky,21095.0,207,3.0
2020-08-03,Harlan,Nebraska,31083.0,1,0.0
2020-08-04,Harlan,Kentucky,21095.0,212,3.0
2020-08-04,Harlan,Nebraska,31083.0,1,0.0
2020-08-05,Harlan,Kentucky,21095.0,214,3.0
2020-08-05,Harlan,Nebraska,31083.0,1,0.0
2020-08-06,Harlan,Kentucky,21095.0,219,3.0
2020-08-06,Harlan,Nebraska,31083.0,1,0.0
2020-08-07,Harlan,Kentucky,21095.0,223,3.0
2020-08-07,Harlan,Nebraska,31083.0,1,0.0
2020-08-08,Harlan,Kentucky,21095.0,231,3.0
2020-08-08,Harlan,Nebraska,31083.0,1,0.0
2020-08-09,Harlan,Kentucky,21095.0,232,3.0
2020-08-09,Harlan,Nebraska,31083.0,1,0.0
2020-08-10,Harlan,Kentucky,21095.0,232,3.0
2020-08-10,Harlan,Nebraska,31083.0,1,0.0
2020-08-11,Harlan,Kentucky,21095.0,232,3.0
2020-08-11,Harlan,Nebraska,31083.0,1,0.0
2020-08-12,Harlan,Kentucky,21095.0,239,3.0
2020-08-12,Harlan,Nebraska,31083.0,1,0.0
2020-08-13,Harlan,Kentucky,21095.0,243,3.0
2020-08-13,Harlan,Nebraska,31083.0,1,0.0
